OBJECTID,poly_SourceOID,poly_IncidentName,poly_FeatureCategory,poly_MapMethod,poly_GISAcres,poly_DeleteThis,poly_FeatureAccess,poly_FeatureStatus,poly_IsVisible,poly_CreateDate,poly_DateCurrent,poly_PolygonDateTime,poly_IRWINID,poly_FORID,poly_Acres_AutoCalc,poly_SourceGlobalID,poly_Source,attr_SourceOID,attr_ABCDMisc,attr_ADSPermissionState,attr_CalculatedAcres,attr_ContainmentDateTime,attr_ControlDateTime,attr_CreatedBySystem,attr_IncidentSize,attr_DiscoveryAcres,attr_DispatchCenterID,attr_EstimatedCostToDate,attr_FinalAcres,attr_FFReportApprovedByTitle,attr_FFReportApprovedByUnit,attr_FFReportApprovedDate,attr_FireBehaviorGeneral,attr_FireBehaviorGeneral1,attr_FireBehaviorGeneral2,attr_FireBehaviorGeneral3,attr_FireCause,attr_FireCauseGeneral,attr_FireCauseSpecific,attr_FireCode,attr_FireDepartmentID,attr_FireDiscoveryDateTime,attr_FireMgmtComplexity,attr_FireOutDateTime,attr_FireStrategyConfinePercent,attr_FireStrategyFullSuppPrcnt,attr_FireStrategyMonitorPercent,attr_FireStrategyPointZonePrcnt,attr_FSJobCode,attr_FSOverrideCode,attr_GACC,attr_ICS209ReportDateTime,attr_ICS209RptForTimePeriodFrom,attr_ICS209RptForTimePeriodTo,attr_ICS209ReportStatus,attr_IncidentManagementOrg,attr_IncidentName,attr_IncidentShortDescription,attr_IncidentTypeCategory,attr_IncidentTypeKind,attr_InitialLatitude,attr_InitialLongitude,attr_InitialResponseAcres,attr_InitialResponseDateTime,attr_IrwinID,attr_IsFireCauseInvestigated,attr_IsFireCodeRequested,attr_IsFSAssisted,attr_IsMultiJurisdictional,attr_IsQuarantined,attr_IsReimbursable,attr_IsTrespass,attr_IsUnifiedCommand,attr_IsValid,attr_LocalIncidentIdentifier,attr_ModifiedBySystem,attr_PercentContained,attr_PercentPerimToBeContained,attr_POOCity,attr_POOCounty,attr_POODispatchCenterID,attr_POOFips,attr_POOJurisdictionalAgency,attr_POOJurisdictionalUnit,attr_POOJurisdictUnitParentUnit,attr_POOLandownerCategory,attr_POOLandownerKind,attr_POOLegalDescPrincipalMerid,attr_POOLegalDescQtr,attr_POOLegalDescQtrQtr,attr_POOLegalDescRange,attr_POOLegalDescSection,attr_POOLegalDescTownship,attr_POOPredictiveServiceAreaID,attr_POOProtectingAgency,attr_POOProtectingUnit,attr_POOState,attr_PredominantFuelGroup,attr_PredominantFuelModel,attr_PrimaryFuelModel,attr_SecondaryFuelModel,attr_TotalIncidentPersonnel,attr_UniqueFireIdentifier,attr_FORID,attr_WFDSSDecisionStatus,attr_EstimatedFinalCost,attr_OrganizationalAssessment,attr_StratDecisionPublishDate,attr_CreatedOnDateTime_dt,attr_ModifiedOnDateTime_dt,attr_Source,attr_IsCpxChild,attr_CpxName,attr_CpxID,attr_SourceGlobalID,GlobalID,Shape__Area,Shape__Length,attr_IncidentComplexityLevel
36832,1339,CALFD-000042,Wildfire Daily Fire Perimeter,Hand Sketch,5.05,No,Public,Approved,Yes,1/31/2025 11:36:18 PM,1/31/2025 11:36:18 PM,1/31/2025 11:36:17 PM,{39C2CD9F-4829-4D86-8412-0FB954D5B33C},,5.04976699403293,{85AA924B-2B67-4BD9-A205-0602DE5857DE},2025 NIFS,33052641,,DEFAULT,5.05,1/1/2025 12:46:00 PM,,INFORM_Inspector,5,5,CALACC,,,,,,,,,,Human,Fireworks,Unknown (remarks required),,,1/1/2025 8:17:11 AM,,,,,,,,,OSCC,,,,,,CALFD-000042,,WF,FI,,,,,{39C2CD9F-4829-4D86-8412-0FB954D5B33C},,0,0,,0,,,,1,000042,INFORM_Inspector,,,,Los Angeles,CALACC,06037,,,,Private,Private,,,,,,,SC08,C&L,CALFD,US-CA,Brush,SH5,,,,2025-CALFD-000042,,No Decision,,,,1/31/2025 11:35:28 PM,1/31/2025 11:50:23 PM,IRWIN,0,,,{EC789843-0F37-4B59-A0F4-6F4D89CD18EC},8306c7da-f848-4438-a330-37c0b426bfcb,1.99592341232346E-06,0.00784714363008459,
36470,400,Egret,Wildfire Daily Fire Perimeter,GPS-Walked,0.27,No,Public,Approved,Yes,1/13/2025 10:41:09 PM,1/13/2025 10:50:16 PM,1/2/2025 3:26:33 PM,{9437FAA9-3CC5-40D2-95B0-083A084455C1},,0.272001649100223,{C79227F2-F9FE-4F4D-AD6D-BBFC587DD7A6},2025 NIFS,33044850,,DEFAULT,,1/2/2025 4:20:00 PM,1/6/2025 6:20:00 PM,wildcade,0.26,0.26,FLFIC,,,,,,,,,,Undetermined,,,SD7C,,1/1/2025 5:05:00 PM,,1/6/2025 6:20:00 PM,,,,,P8,0805,SACC,,,,,,Egret,,WF,FI,29.43365,-81.74226,,,{9437FAA9-3CC5-40D2-95B0-083A084455C1},,0,,,0,,,,1,000001,wildcade,,,,Putnam,FLFIC,12107,USFS,FLFNF,,USFS,Federal,,,,,,,SA48,USFS,FLFNF,US-FL,,,,,,2025-FLFNF-000001,,No Decision,,,,1/2/2025 4:25:01 PM,1/6/2025 6:20:14 PM,IRWIN,0,,,{97B33189-EE37-4576-8AB1-87BBA3E1600F},e2db0bc0-1195-4585-a820-0a0e31509381,1.0234930414299E-07,0.00240544501101158,
37062,2007,Drive By,Wildfire Daily Fire Perimeter,Mixed Methods,2.46,No,Public,Approved,Yes,2/19/2025 1:51:17 PM,2/19/2025 2:49:26 PM,2/4/2025 7:35:17 PM,{31313E21-9ECC-452F-99A7-E2DEDBF85E8A},,2.46303746458011,{AF395067-FF2B-4522-99C6-C1B38A8ED11D},2025 NIFS,33052957,,DEFAULT,,,2/3/2025 5:10:00 PM,iffrs,2.46,2,WIWISC,,2.46,,,,,,,,Human,Other causes,Other (remarks required),SE7A,,1/1/2025 10:30:00 PM,,2/3/2025 5:42:00 PM,,,,,,,EACC,,,,,,Drive By,,WF,FI,44.11024,-90.29291,2,2/3/2025 5:08:00 PM,{31313E21-9ECC-452F-99A7-E2DEDBF85E8A},,0,,,0,,,,1,FIRE123093,iffrs,,,,Juneau,WIWIC,55057,FWS,WINCR,,USFWS,Federal,,,,,,,EA05,DNR,WIWIS,US-WI,,,Hardwood Litter,,,2025-WIWIS-FIRE123093,,No Decision,,,,2/3/2025 7:58:29 PM,2/20/2025 4:24:19 PM,IRWIN,0,,,{4BF57A2B-84D5-4833-BFAA-87E12A8B3758},79233a11-dfcb-46f3-9d4a-43b71b84ccbc,1.12053248813027E-06,0.00745641162272955,
36252,4188,BORDER,Wildfire Daily Fire Perimeter,GPS-Walked,16.91,No,Public,Approved,Yes,3/8/2025 1:45:10 AM,3/8/2025 1:45:57 AM,1/3/2025 3:00:00 AM,{3A99A059-7B44-427A-9470-8DB062638552},,16.9114350658886,{C6CEE062-998E-438D-8719-C1B6F8026349},2025 NIFS,33044725,,DEFAULT,,1/2/2025 6:39:00 AM,1/3/2025 7:59:00 AM,cfcad,17,0.01,CASDIC,,17,,,,,,,,Undetermined,,,SD66,,1/2/2025 2:23:09 AM,,,,,,,PN,1522,OSCC,,,,,,BORDER,,WF,FI,32.59853,-116.82817,,,{3A99A059-7B44-427A-9470-8DB062638552},,0,0,1,0,1,1,,1,000091,INFORM_Inspector,,,,San Diego,CASDIC,06073,BLM,CACDD,,BLM,Federal,,,,,,,SC08,CAL FIRE,CASDU,US-CA,,,,,,2025-CASDU-000091,,No Decision,,,,1/2/2025 2:23:57 AM,1/14/2025 7:10:17 PM,IRWIN,0,,,{1370B9D3-9BC5-4895-9DAD-5DABE97CFB3B},b7ed8cbe-c443-4c6e-98a1-942d51036a9a,6.5739704950829E-06,0.0176545067757641,
36471,16,MONUMENT,Wildfire Daily Fire Perimeter,GPS-Walked,17.5864729905362,No,Public,Approved,Yes,1/3/2025 1:01:01 AM,1/13/2025 11:56:42 PM,1/8/2025 4:28:52 PM,{002742B0-61E8-4BB8-A016-BE12F029CEA8},,17.5864082386949,{53E063FF-36ED-4133-9657-C75343ECF587},2025 NIFS,33045138,,DEFAULT,,1/6/2025 9:35:00 PM,1/7/2025 11:00:00 PM,wildcade,17.6,4,NMABC,,,,,,,,,,Human,,,SD72,,1/2/2025 10:42:12 PM,,1/16/2025 10:00:00 PM,,,,,PP,1522,SWCC,,,,,,MONUMENT,,WF,FI,35.043783,-108.356117,,,{002742B0-61E8-4BB8-A016-BE12F029CEA8},,0,1,,0,,,,1,000001,wildcade,,,,Cibola,NMABC,35006,NPS,NMELP,,NPS,Federal,,,,,,,SW07,NPS,NMELP,US-NM,,,,,,2025-NMELP-000001,,No Decision,,,,1/3/2025 1:00:26 AM,1/16/2025 9:41:54 PM,IRWIN,0,,,{14417711-3ED1-40E7-AAC8-C855340DA770},2e59764b-4c55-4cdf-9927-d3506e5390e0,7.03100226928655E-06,0.0174452581185502,
37043,1999,Marble Quarry,Wildfire Daily Fire Perimeter,Mixed Methods,1.98,No,Public,Approved,Yes,2/19/2025 1:51:17 PM,2/19/2025 2:15:19 PM,1/30/2025 2:06:23 PM,{6B3112F3-5257-4187-BEBA-C23B3600719F},,1.98327164686047,{67A2F009-08A1-4A40-A6FC-1EB731181072},2025 NIFS,33045653,,DEFAULT,,,1/4/2025 6:10:00 PM,iffrs,1.98,2,WIWISC,,1.98,,,,,,,,Human,Debris and open burning,Escaped Prescribed Burn,SD88,,1/4/2025 5:25:00 PM,,1/4/2025 6:20:00 PM,,,,,,,EACC,,,,,,Marble Quarry,,WF,FI,43.31628,-90.16458,2,1/4/2025 5:48:00 PM,{6B3112F3-5257-4187-BEBA-C23B3600719F},,0,,,0,,,,1,FIRE123013,iffrs,,,,Sauk,WIWIC,55111,,,,Private,Private,,,,,,,EA05,DNR,WIWIS,US-WI,,,Tall Grass (2.5 feet),,,2025-WIWIS-FIRE123013,,No Decision,,,,1/6/2025 5:24:57 PM,1/30/2025 2:06:08 PM,IRWIN,0,,,{B4ABB0C0-7AFC-4771-922A-EC042BF47B94},41b63d3b-9189-4abb-ad17-8863838d82fb,8.905508366297E-07,0.00381868056266473,
37109,2104,Freaking Cold Fire,Wildfire Daily Fire Perimeter,GPS-Walked,2,No,Public,Approved,Yes,2/21/2025 2:13:32 PM,3/10/2025 5:30:56 PM,1/4/2025 5:48:45 PM,{65A6DC15-9041-459B-B481-25BC7672270F},,2.00605172762905,{2768A394-B64D-4278-B968-2AE8C1896059},2025 NIFS,33054758,,DEFAULT,2,,,INFORM_Mobile,2,,MIMISC,,,,,,,,,,Human,Recreation and ceremony,Campfire,,,1/4/2025 6:48:00 PM,,1/5/2025 3:00:00 PM,,,,,,,EACC,,,,,,Freaking Cold Fire,,WF,FI,,,,,{65A6DC15-9041-459B-B481-25BC7672270F},,0,,,0,,,,1,010001,INFORM_Inspector,,,,Alcona,MIMIDC,26001,DNR,MIMIS,,Private,Private,,,,,,,EA07,DNR,MIMIS,US-MI,,,,,,2025-MIMIS-010001,,No Decision,,,,2/10/2025 8:13:35 PM,2/21/2025 2:24:23 PM,IRWIN,0,,,{8CF038FF-9137-45C6-8708-C122D5D5851B},9169b775-6871-41cd-984a-ecbb9f3274f6,9.21418632060522E-07,0.00422387261475424,
37210,240,BICY Boot Hill Rx,Prescribed Fire,Auto-generated for InFORM,20837,No,Public,Approved,Yes,1/9/2025 2:13:49 PM,3/1/2025 3:56:01 PM,2/3/2025 11:48:33 AM,{2071D7A0-5569-47A4-897E-FF9F4F8EEA63},,22804.175688054,{9A2D7BB2-39BD-47B4-8AD3-E9524AA8BD06},2025 NIFS,33045384,,DEFAULT,,,,wildcade,20837,,FLFIC,,,,,,,,,,Undetermined,,,,,1/4/2025 9:31:42 PM,,,,,,,,,SACC,,,,,,BICY Boot Hill Rx,,RX,FI,26.0074,-81.097717,,,{2071D7A0-5569-47A4-897E-FF9F4F8EEA63},,0,,,0,,,,1,000021,wildcade,,,,Collier,FLFIC,12021,NPS,FLBCP,,NPS,Federal,,,,,,,SA50,NPS,FLBCP,US-FL,,,,,,2025-FLBCP-000021,,No Decision,,,,1/4/2025 9:32:22 PM,2/3/2025 11:48:06 AM,IRWIN,0,,,{DAF66F85-D448-4B4A-BB25-26EBF5FFBFDA},55ea0b08-3230-4cfb-a639-07cf5c8a8e6a,0.00832072452112698,0.464317587950766,
36659,63,CALLBOX,Wildfire Daily Fire Perimeter,Auto-generated for InFORM,0.1,No,Public,Approved,Yes,1/5/2025 1:01:10 AM,1/22/2025 8:20:05 PM,1/6/2025 11:48:02 PM,{1BCE1596-7F5F-4973-82DE-45B600368E10},,145.05881310061,{92CF219D-EAEA-4F7E-8251-C48C67BB7819},2025 NIFS,33045409,,DEFAULT,,1/5/2025 1:40:00 AM,1/5/2025 1:40:00 AM,wildcade,0.1,0.1,CAANCC,,,,,,,,,,Undetermined,,,SD8P,,1/5/2025 12:53:33 AM,,1/5/2025 1:40:00 AM,,,,,,,OSCC,,,,,,CALLBOX,,WF,FI,34.584801,-118.560303,,,{1BCE1596-7F5F-4973-82DE-45B600368E10},,0,1,,0,,1,,1,250049,INFORM_Inspector,,,,Los Angeles,CAANCC,06037,USFS,CAANF,,USFS,Federal,,,,,,,SC09,USFS,CAANF,US-CA,,,,,,2025-CAANF-250049,,No Decision,,,,1/5/2025 1:00:48 AM,1/6/2025 11:47:40 PM,IRWIN,0,,,{9826410D-D0F2-4F9B-9649-B9C5A7C5D5D4},8bbd9f08-fd4c-4820-a270-42785baca2e1,5.76696102143615E-05,0.0369849625481792,
36644,26774,Wedding ,Wildfire Final Fire Perimeter,Mixed Methods,28.6,No,Public,Approved,Yes,1/22/2025 3:58:11 PM,1/22/2025 3:58:11 PM,1/22/2025 3:58:11 PM,{E278DE97-ED1B-419D-B466-9B3FC2567F7B},{22597EC0-430D-4949-8FCB-17919CC15092},28.6072189145278,,FFP,5362203,,CERTIFIED,28.61,1/6/2025 12:15:00 AM,1/6/2025 4:00:00 PM,wildcade,28,,MSMIC,,,,,1/22/2025 3:58:04 PM,,,,,,,,SD8T,,1/5/2025 8:39:00 PM,,1/10/2025 6:00:00 PM,,,,,P8,0807,SACC,,,,,,Wedding Fire,,WF,FI,31.3845,-91.0216,,1/5/2025 8:40:00 PM,,,,1,,0,,,,1,000014,INFORM_Inspector,,,,Franklin,MSMIC,28037,USFS,MSMNF,,USFS,Federal,,,,,,,,USFS,MSMNF,US-MS,Grass,GR2,,,,2025-MSMNF-000014,{22597EC0-430D-4949-8FCB-17919CC15092},,,,,1/5/2025 10:04:25 PM,1/22/2025 3:49:08 PM,FODR,,,,{A85975CE-200D-4A09-AA8E-10168CFCCFDF},7dbab526-249e-49c4-bcb1-0050b92185b2,1.09772947780584E-05,0.0156405443922539,
36446,380,East Hartford,Wildfire Daily Fire Perimeter,Mixed Methods,2.98043215135052,No,Public,Approved,Yes,1/13/2025 4:39:13 PM,1/13/2025 4:39:13 PM,,{49592D68-35E2-49CC-A1C8-7AC30DCCBF99},,2.9804201607155,{0307DB3A-252E-4FBA-A32B-431757FA4399},2025 NIFS,33045497,,DEFAULT,,1/5/2025 11:14:00 PM,1/5/2025 11:58:00 PM,wildcade,3,3,UTUBC,,,,,,,,,,Human,,,SD8X,,1/5/2025 8:59:00 PM,,1/7/2025 3:52:00 PM,,,,,,,GBCC,,,,,,East Hartford,,WF,FI,40.227976,-109.98002,,,{49592D68-35E2-49CC-A1C8-7AC30DCCBF99},,0,1,,0,,,,1,100001,wildcade,,,,Duchesne,UTUBC,49013,,,,Private,Private,,,,,,,GB29,DFF,UTNES,US-UT,,,,,,2025-UTNES-100001,,No Decision,,,,1/6/2025 12:00:24 AM,1/7/2025 4:01:35 PM,IRWIN,0,,,{D13AFA17-E799-4F93-AD2B-2ABB24C7982A},3cfa40fe-5684-452f-93c6-0372d3cd3f8d,1.28461442727712E-06,0.00523726621576028,
36425,26526,Roter,Wildfire Final Fire Perimeter,GPS-Walked,1.258778,No,Public,Approved,Yes,1/10/2025 3:11:03 PM,1/10/2025 3:11:03 PM,1/10/2025 3:11:03 PM,{60AA7CF4-F533-47F9-BDDF-2D4A54DFBCC8},{01A61F84-61FE-4BC7-BF90-0D26396DBEC6},1.25877371194102,,FFP,5334427,,CERTIFIED,1.26,1/6/2025 1:14:00 AM,1/8/2025 6:37:00 PM,wildcade,1.26,,AZPHC,,,,,1/10/2025 3:10:56 PM,,,,,,,,SD96,,1/5/2025 10:06:45 PM,,1/8/2025 6:37:00 PM,,,,,P3,,SWCC,,,,,,Roter,,WF,FI,33.3075,-111.246,,1/5/2025 11:06:00 PM,,,,1,,0,,,,1,000024,wildcade,,,,Pinal,AZPHC,04021,USFS,AZTNF,,USFS,Federal,,,,,,,,USFS,AZTNF,US-AZ,Grass-Shrub,GS2,,,,2025-AZTNF-000024,{01A61F84-61FE-4BC7-BF90-0D26396DBEC6},,,,,1/6/2025 12:54:02 AM,1/8/2025 11:33:57 PM,FODR,,,,{7C853D06-F21D-4131-BA79-BABFC516349C},23c35eef-298b-4a19-96fc-f3a10fcf3e31,4.93061179440701E-07,0.00392280491565659,
36723,26869,Bell Springs,Wildfire Final Fire Perimeter,Phone/Tablet,0.1,No,Public,Approved,Yes,1/27/2025 7:01:55 PM,1/27/2025 7:01:55 PM,1/27/2025 7:01:54 PM,{17A682C5-9ADB-4A33-B7CF-28940D77CDB7},{30AF5773-E6AD-4A95-AB45-5DBA6E1FA8E2},14.8160267786479,,FFP,5377586,,CERTIFIED,14.81,1/7/2025 3:40:00 PM,1/13/2025 12:30:53 PM,wildcade,14.81,,ALAIC,,,,,1/27/2025 7:01:48 PM,,,,,,,,SD8W,,1/5/2025 10:10:00 PM,,1/13/2025 1:00:53 PM,,,,,P8,0801,SACC,,,,,,Bell Springs,,WF,FI,33.529286,-85.884933,,1/5/2025 10:30:00 PM,,1,,1,,0,,1,,1,000009,wildcade,,,,Talladega,ALAIC,01121,USFS,ALALF,,USFS,Federal,,,,,,,,USFS,ALALF,US-AL,Timber,TL9,,,,2025-ALALF-000009,{30AF5773-E6AD-4A95-AB45-5DBA6E1FA8E2},,,,,1/5/2025 11:39:02 PM,1/13/2025 10:51:26 PM,FODR,,,,{B2C2B162-3F84-4264-A255-6CE7A981D04B},6d6c2d58-8f08-40bc-8a3b-f23bd5e4e6cc,5.81994868298352E-06,0.0218924121928744,
36334,138,Daggett Brook,Wildfire Daily Fire Perimeter,Auto-generated for InFORM,0.25,No,Public,Approved,Yes,1/7/2025 3:39:36 PM,1/7/2025 4:42:37 PM,1/7/2025 3:39:36 PM,{75486FFF-E80B-4933-9B0C-D3DEFE580BDC},,0.110335421695817,{31ECDAA6-ED4E-45C7-A05A-030FF6828AF6},2025 NIFS,33045821,,DEFAULT,,1/6/2025 9:00:00 AM,1/6/2025 9:30:00 AM,wildcade,0.25,0.25,MNMNCC,,,,,,,,,,Undetermined,,,,,1/6/2025 8:32:00 AM,,1/6/2025 3:55:00 PM,,,,,,,EACC,,,,,,Daggett Brook,,WF,FI,46.199533,-94.103951,,,{75486FFF-E80B-4933-9B0C-D3DEFE580BDC},,0,,,0,,,,1,000029,wildcade,,,,Crow Wing,MNMNCC,27035,,,,Private,Private,,,,,,,EA03,DNR,MN1FS,US-MN,,,,,,2025-MN1FS-000029,,No Decision,,,,1/7/2025 3:39:13 PM,1/7/2025 3:39:13 PM,IRWIN,0,,,{C7FFB004-D6C1-4B48-BEB7-E701581CE6E4},b505cfc7-e5cc-4bb7-963e-f7f3686c0d80,5.20240064361133E-08,0.00112349635682662,
36700,26843,NV COVE RX,Wildfire Final Fire Perimeter,Auto-generated for InFORM,14,No,Public,Approved,Yes,1/24/2025 6:59:33 PM,1/24/2025 6:59:33 PM,1/24/2025 6:59:32 PM,{8C14996E-0A98-41AB-962B-16BA1A4E77D0},{6157D3B9-C0E3-41C2-BB53-EAA73127773D},13.8591910283198,,FFP,5333605,,CERTIFIED,13.86,,,wildcade,14,,NVLIC,,,,,1/24/2025 6:59:24 PM,,,,,,,,,,1/6/2025 7:00:00 PM,,1/17/2025 10:00:00 PM,,,,,,,GBCC,,,,,,NV COVE RX,,RX,FI,35.378889,-114.635556,,,,,,0,,0,,,,1,500007,wildcade,,,,Clark,NVLIC,32003,NPS,NVLAP,,NPS,Federal,,,,,,,,NPS,NVLAP,US-NV,Brush,SH5,,,,2025-NVLAP-500007,{6157D3B9-C0E3-41C2-BB53-EAA73127773D},,,,,1/3/2025 4:05:11 PM,1/8/2025 11:08:59 PM,FODR,,,,{B5A6476E-EF8F-4C67-8968-D7AE75E8D0CE},a66c493e-51bb-4a4a-81a8-92d25718988a,5.57011162527488E-06,0.0245211572579663,
36400,211,Beaver Creek,Wildfire Daily Fire Perimeter,Hand Sketch,0.14,No,Public,Approved,Yes,1/8/2025 9:23:51 PM,1/8/2025 9:25:10 PM,1/6/2025 8:45:00 PM,{AA320EAC-41B7-4996-A227-E56FC8236B23},,0.273118895840647,{5239B9C9-3EB5-4EB2-8E82-C370ED5D3ACF},2025 NIFS,33045822,,DEFAULT,,1/6/2025 8:45:00 PM,1/6/2025 9:00:00 PM,wildcade,1,1,MNMNCC,,,,,,,,,,Undetermined,,,,,1/6/2025 8:12:00 PM,,1/7/2025 2:30:00 PM,,,,,,,EACC,,,,,,Beaver Creek,,WF,FI,46.48835,-93.876007,,,{AA320EAC-41B7-4996-A227-E56FC8236B23},,0,,,0,,,,1,000030,INFORM_Inspector,,,,Crow Wing,MNMNCC,27035,,,,Private,Private,,,,,,,EA01,DNR,MN1FS,US-MN,,,,,,2025-MN1FS-000030,,No Decision,,,,1/7/2025 3:40:26 PM,1/14/2025 7:25:58 PM,IRWIN,0,,,{DDEAC0E4-5140-4276-9996-4013D16FB1A5},2330124e-6788-4ff2-a8f1-cf8f965b3a40,1.29503405332798E-07,0.0018176210257509,
37105,2066,RX - Rowans Creek,Prescribed Fire,Digitized,90.1195442216496,No,Public,Approved,Yes,2/19/2025 9:55:29 PM,2/20/2025 6:12:53 PM,,{196B158B-C8F9-4281-8EBA-FECB0C9D8CA7},,90.1195848614255,{7BEB7E44-D275-4AFC-8267-C74144E38C95},2025 NIFS,33045880,,DEFAULT,,,,wildcade,,,TNTNC,,,,,,,,,,Undetermined,,,,,1/7/2025 6:22:43 PM,,,,,,,,,SACC,,,,,,RX - T32 Maple Knob,,RX,FI,35.320667,-84.189817,,,{196B158B-C8F9-4281-8EBA-FECB0C9D8CA7},,0,,,0,,,,1,000043,wildcade,,,,Monroe,TNTNC,47123,USFS,TNCNF,,USFS,Federal,,,,,,,SA25B,USFS,TNCNF,US-TN,,,,,,2025-TNCNF-000043,,No Decision,,,,1/7/2025 6:25:08 PM,1/7/2025 6:25:08 PM,IRWIN,0,,,{9A66F14D-5719-4B4D-B2E2-2B92676CFF28},8f0dcb91-35f3-4011-a8c4-1b19444e4a79,3.62745731763425E-05,0.0356435416457898,
36398,172,PALISADES,Wildfire Daily Fire Perimeter,IR Image Interpretation,23448,No,Public,Approved,Yes,1/8/2025 6:00:47 AM,1/21/2025 11:43:48 PM,1/8/2025 2:31:44 PM,{A7EA5D21-F882-44B8-BF64-44AB11059DC1},,23448.7954165889,{844FD304-34F1-4397-86D4-9020AF2355B9},2025 NIFS,33045918,,DEFAULT,,,,IROC,23448,,CAXLAC,208946523,,,,,Minimal,,Smoldering,Creeping,Undetermined,,,SD90,,1/7/2025 6:30:00 PM,,,0,100,0,0,,,OSCC,2/1/2025 1:45:24 AM,1/31/2025 2:00:00 AM,2/1/2025 1:30:00 AM,F,Type 3 Team,Palisades,Pacific Palisades,WF,FI,,,,,{A7EA5D21-F882-44B8-BF64-44AB11059DC1},,0,,,0,,,1,1,000738,ics209,100,100,Los Angeles City,Los Angeles,CALACC,06037,,,,Private,Private,,,,,,,SC08,C&L,CALFD,US-CA,,,Chaparral (6 feet),Brush (2 feet),60,2025-CALFD-000738,,No Decision,,,,1/7/2025 7:23:56 PM,2/1/2025 1:45:24 AM,IRWIN,0,,,{35C19D7C-FEDA-42F8-AD76-9B094E783801},2a11c9e3-3295-4623-8c53-4e9a192ae0f3,0.00926798820046315,1.15761439191469,Type 3 Incident
36951,1761,Keeting,Wildfire Daily Fire Perimeter,Mixed Methods,6.829341225546,No,Public,Approved,Yes,2/10/2025 7:40:30 PM,2/10/2025 7:44:54 PM,1/7/2025 6:00:42 PM,{8E58F968-1822-4BC7-80C8-323D4B29B7CB},,6.82934415582033,{D26C100A-224D-44AD-BD96-13A5325D5CD1},2025 NIFS,33045990,,DEFAULT,,1/8/2025 4:12:32 PM,,firesponse,7,7,TXTIC,,,,,,Moderate,,,,Human,Debris and open burning,Open trash burning,,,1/8/2025 12:00:42 AM,Type 5 Incident,,,,,,,,SACC,,,,,,Keeting,,WF,FI,28.38714,-97.43228,,,{8E58F968-1822-4BC7-80C8-323D4B29B7CB},,0,,,0,,,0,1,250110,firesponse,100,,,Bee,TXTIC,48025,SFS,TXTXS,,Private,Private,,,,,,,SA14,SFS,TXTXS,US-TX,,,,,,2025-TXTXS-250110,,No Decision,,,,1/7/2025 11:55:31 PM,1/23/2025 8:50:39 PM,IRWIN,0,,,{831962B4-5F8D-490C-84DD-CE0DFD535F3C},5df43092-c304-4e7c-8338-82bf17f1c3ea,2.54447104452993E-06,0.00845527226579915,
36389,170,Cattle,Wildfire Daily Fire Perimeter,Auto-generated for InFORM,48,No,Public,Approved,Yes,1/8/2025 3:13:13 AM,1/8/2025 6:43:58 PM,1/8/2025 5:36:40 AM,{A7F41DAF-A6E0-47D5-B6BE-14FCEC2BFFC8},,44.983047734953,{BA8190E3-AF4A-4098-8561-EA4DB69F6DEA},2025 NIFS,33046023,,DEFAULT,,1/13/2025 3:42:00 PM,1/19/2025 5:00:00 PM,wildcade,48,0.1,AZADC,,,,,,,,,,Undetermined,,,SD92,,1/8/2025 1:18:30 AM,,1/19/2025 5:00:00 PM,,,,,PN,,SWCC,,,,,,Cattle,,WF,FI,32.735052,-114.252907,,,{A7F41DAF-A6E0-47D5-B6BE-14FCEC2BFFC8},,0,1,,0,,,,1,250069,wildcade,,,,Yuma,AZPDC,04027,,,,Private,Private,,,,,,,SW03,DFFM,AZA4S,US-AZ,,,,,,2025-AZA4S-250069,,No Decision,,,,1/8/2025 3:12:53 AM,1/19/2025 6:15:31 PM,IRWIN,0,,,{F245862E-1C38-4B14-9D56-1989DE930B16},63c34d34-c1ad-46ba-8470-ead7afb4757b,1.75145257799159E-05,0.0433065007753875,
